Date,Adj Close,stock_demand,year,month,week,day,dayofweek,week_of_month,is_weekend
2010-06-17,8.220181,0.1396910000000009,2010,6,24,17,3,3,0
2010-06-18,8.286695,0.06651399999999974,2010,6,24,18,4,3,0
2010-06-21,8.168778,-0.11791700000000027,2010,6,25,21,0,3,0
2010-06-22,8.280046,0.11126800000000081,2010,6,25,22,1,4,0
2010-06-23,8.19297,-0.08707599999999971,2010,6,25,23,2,4,0
2010-06-24,8.133404,-0.05956600000000023,2010,6,25,24,3,4,0
2010-06-25,8.063859,-0.06954499999999975,2010,6,25,25,4,4,0
2010-06-28,8.112234,0.04837500000000006,2010,6,26,28,0,4,0
2010-06-29,7.745477,-0.36675700000000067,2010,6,26,29,1,5,0
2010-06-30,7.605185,-0.14029200000000053,2010,6,26,30,2,5,0
2010-07-01,7.512965,-0.0922199999999993,2010,7,26,1,3,1,0
2010-07-02,7.466404,-0.04656100000000052,2010,7,26,2,4,1,0
2010-07-06,7.517502,0.05109800000000053,2010,7,27,6,1,1,0
2010-07-07,7.821064,0.30356199999999944,2010,7,27,7,2,1,0
2010-07-08,7.803531,-0.017532999999999355,2010,7,27,8,3,2,0
2010-07-09,7.849793,0.04626199999999958,2010,7,27,9,4,2,0
2010-07-12,7.779343,-0.07045000000000012,2010,7,28,12,0,2,0
2010-07-13,7.61335,-0.16599300000000028,2010,7,28,13,1,2,0
2010-07-14,7.641467,0.028116999999999948,2010,7,28,14,2,2,0
2010-07-15,7.602765,-0.03870199999999979,2010,7,28,15,3,3,0
2010-07-16,7.555899,-0.04686599999999963,2010,7,28,16,4,3,0
2010-07-19,7.42528,-0.13061900000000026,2010,7,29,19,0,3,0
2010-07-20,7.616067,0.19078700000000026,2010,7,29,20,1,3,0
2010-07-21,7.687125,0.07105799999999984,2010,7,29,21,2,3,0
2010-07-22,7.831652,0.14452700000000007,2010,7,29,22,3,4,0
2010-07-23,7.859467,0.027815000000000367,2010,7,29,23,4,4,0
2010-07-26,7.839512,-0.01995500000000039,2010,7,30,26,0,4,0
2010-07-27,7.984639,0.14512699999999956,2010,7,30,27,1,4,0
2010-07-28,7.890307,-0.09433199999999964,2010,7,30,28,2,4,0
2010-07-29,7.804134,-0.08617299999999961,2010,7,30,29,3,5,0
2010-07-30,7.778134,-0.02600000000000069,2010,7,30,30,4,5,0
2010-08-02,7.917222,0.1390880000000001,2010,8,31,2,0,1,0
2010-08-03,7.919637,0.002415000000000056,2010,8,31,3,1,1,0
2010-08-04,7.951385,0.03174800000000033,2010,8,31,4,2,1,0
2010-08-05,7.912679,-0.03870600000000035,2010,8,31,5,3,1,0
2010-08-06,7.864004,-0.04867499999999936,2010,8,31,6,4,1,0
2010-08-09,7.914196,0.050191999999999126,2010,8,32,9,0,2,0
2010-08-10,7.843438,-0.07075799999999965,2010,8,32,10,1,2,0
2010-08-11,7.564667,-0.2787709999999999,2010,8,32,11,2,2,0
2010-08-12,7.613044,0.048377000000000336,2010,8,32,12,3,2,0
2010-08-13,7.531712,-0.08133200000000063,2010,8,32,13,4,2,0
2010-08-16,7.487568,-0.04414400000000018,2010,8,33,16,0,3,0
2010-08-17,7.618488,0.1309200000000006,2010,8,33,17,1,3,0
2010-08-18,7.651746,0.03325800000000001,2010,8,33,18,2,3,0
2010-08-19,7.555295,-0.09645100000000006,2010,8,33,19,3,3,0
2010-08-20,7.548041,-0.007254000000000538,2010,8,33,20,4,3,0
2010-08-23,7.431937,-0.11610399999999998,2010,8,34,23,0,4,0
2010-08-24,7.254449,-0.17748799999999942,2010,8,34,24,1,4,0
2010-08-25,7.343947,0.08949799999999986,2010,8,34,25,2,4,0
